Label;Part Type;mn;mpn;part number;
Alarm Override;Pushbutton;;;;
alarmSystem;Passive Buzzer;;;;
batteryStatusLight;Red (633nm) LED;;;;
Exterior Alert;Red (633nm) LED;;;;
Exterior Floodlights;White (4500K) LED;;;;
Exterior Light Override;Pushbutton;;;;
interiorLighting;White (4500K) LED;;;;
interiorLightsButton;Pushbutton;;;;
Part1;Arduino Mega 2560 (Rev3);;;;
PIR Sensor;HC-SR501 Body Sensor Module;;;;
R3;220Ω Resistor;;;;
R4;220Ω Resistor;;;;
R6;200Ω Resistor;;;;
R7;220Ω Resistor;;;;
R8;220Ω Resistor;;;;
R9;220Ω Resistor;;;;
solarArray;PHOTOCELL;;;;

Amount;Part Type;mn;mpn;part number;
1;200Ω Resistor;;;;
5;220Ω Resistor;;;;
1;Arduino Mega 2560 (Rev3);;;;
1;HC-SR501 Body Sensor Module;;;;
1;PHOTOCELL;;;;
1;Passive Buzzer;;;;
3;Pushbutton;;;;
2;Red (633nm) LED;;;;
2;White (4500K) LED;;;;
