Label;Part Type;mn;mpn;part number;
16x2 I2C LCD Display;LCD screen;;;;
accessStatus (RG);Red (633nm) LED;;;;
Alarm Override;Pushbutton;;;;
alarmSystem;Passive Buzzer;;;;
batteryStatusLight (RG);Red (633nm) LED;;;;
Exterior Alert;Red (633nm) LED;;;;
Exterior Floodlights;White (4500K) LED;;;;
Exterior Lights;Pushbutton;;;;
interiorLighting;White (4500K) LED;;;;
interiorLightsButton;Pushbutton;;;;
Keypad;Keypad Membran 4x4;;;;
Part1;Arduino Mega 2560 (Rev3);;;;
PIR Sensor;HC-SR501 Body Sensor Module;;;;
R3;220Ω Resistor;;;;
R4;220Ω Resistor;;;;
R6;200Ω Resistor;;;;
R7;220Ω Resistor;;;;
R8;220Ω Resistor;;;;
R9;220Ω Resistor;;;;
R10;220Ω Resistor;;;;
R11;220Ω Resistor;;;;
solarArray;PHOTOCELL;;;;

Amount;Part Type;mn;mpn;part number;
1;200Ω Resistor;;;;
7;220Ω Resistor;;;;
1;Arduino Mega 2560 (Rev3);;;;
1;HC-SR501 Body Sensor Module;;;;
1;Keypad Membran 4x4;;;;
1;LCD screen;;;;
1;PHOTOCELL;;;;
1;Passive Buzzer;;;;
3;Pushbutton;;;;
3;Red (633nm) LED;;;;
2;White (4500K) LED;;;;
